condition,episode,episode_idx,save_idx,raw_chunk_id,path,high_low_projection_score,dist_to_high_proto,dist_to_low_proto,dist_to_baseline_proto,prototype_label,is_lift_chunk
low,episode_000006,6,3,3,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,-2.8002266883850098,1.2157368659973145,0.17483288049697876,0.7985137104988098,low_like,1
low,episode_000006,6,4,4,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_4_004_observation_frame.pt,-1.7813328504562378,2.7221779823303223,0.12834998965263367,0.5753861665725708,low_like,0
low,episode_000007,7,0,0,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,-1.7920666933059692,0.800463855266571,0.07539944350719452,0.2759697139263153,low_like,1
low,episode_000007,7,1,1,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,0.2618717551231384,1.7425694465637207,0.26440101861953735,0.6840325593948364,low_like,0
low,episode_000007,7,2,2,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,-0.9952187538146973,1.256346583366394,0.1843208521604538,0.42800456285476685,low_like,1
low,episode_000007,7,3,3,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_3_003_observation_frame.pt,-2.8896031379699707,1.344616174697876,0.35921934247016907,1.0555837154388428,low_like,1
low,episode_000007,7,4,4,debug_runs/20260529_112911_low/episode_000007/debug_chunk_rawid_4_004_observation_frame.pt,-1.7292457818984985,2.6684372425079346,0.11344330757856369,0.552619218826294,low_like,0
low,episode_000008,8,0,0,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,-1.7742904424667358,0.7828746438026428,0.07301043719053268,0.254680335521698,low_like,1
low,episode_000008,8,1,1,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,0.30575886368751526,1.6986464262008667,0.22089485824108124,0.6392216682434082,low_like,0
low,episode_000008,8,2,2,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-0.9488288760185242,1.2059677839279175,0.14135216176509857,0.36530447006225586,low_like,1
low,episode_000008,8,3,3,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,-2.7609822750091553,1.2915581464767456,0.5677363872528076,1.1936540603637695,low_like,1
low,episode_000008,8,4,4,debug_runs/20260529_112911_low/episode_000008/debug_chunk_rawid_4_004_observation_frame.pt,-1.7339959144592285,2.674340009689331,0.1353386640548706,0.529519259929657,low_like,0
low,episode_000009,9,0,0,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,-1.8130663633346558,0.8224895000457764,0.09460695832967758,0.2969086766242981,low_like,1
low,episode_000009,9,1,1,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-0.6609840989112854,2.673070192337036,1.2017841339111328,1.6222833395004272,low_like,0
low,episode_000009,9,2,2,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,-0.9439471364021301,1.2583236694335938,0.4007265567779541,0.5977787375450134,low_like,1
low,episode_000009,9,3,3,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,-2.894151210784912,1.41753089427948,0.5644986629486084,1.2470488548278809,low_like,1
low,episode_000009,9,4,4,debug_runs/20260529_112911_low/episode_000009/debug_chunk_rawid_4_004_observation_frame.pt,-1.9568618535995483,2.901585578918457,0.2476213276386261,0.8330011367797852,low_like,0
