condition,episode,episode_idx,save_idx,phase_target,phase_error,eef_z,path,action_key,action_dim,action_value
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-74.27986145019531
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.980637550354004
baseline,episode_000009,9,1,0.0,0.0,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,48.119693756103516
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-7.85038948059082
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,36.359317779541016
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.274883270263672
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.2304458618164
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-6.393350601196289
high,episode_000000,0,1,0.0,0.0,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.29380798339844
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-8.439935684204102
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.38859939575195
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.150928497314453
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-70.92237854003906
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-6.204862594604492
high,episode_000001,1,1,0.0,0.0,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,44.06258010864258
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.389131546020508
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.00215148925781
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.083147048950195
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-70.6971206665039
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.246964454650879
high,episode_000002,2,1,0.0,0.0,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,46.490196228027344
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.157724380493164
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.650333404541016
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.159204483032227
high,episode_000003,3,1,0.0,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.49413299560547
