condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
baseline,debug_runs/20260529_110106_baseline,episode_000004,4,4,4,0.017285718022251595,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.0160890430971294,0.0011966749251221959,0.01070100659936403,0.07130805718662264,0.06060705058725861,0.10864596377953203,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,0,0,0.016089066575134925,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.016089066575134925,0.0,0.012922036140476503,0.061059943953404715,0.04813790781292821,0.06579077858900766,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,1,1,0.012922036140476503,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.016089066575134925,-0.0031670304346584216,0.012922036140476503,0.061059943953404715,0.04813790781292821,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,2,2,0.061059943953404715,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.016089066575134925,0.04497087737826979,0.012922036140476503,0.061059943953404715,0.04813790781292821,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,3,3,0.04810507696666307,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.016089066575134925,0.03201601039152815,0.012922036140476503,0.061059943953404715,0.04813790781292821,0.7308801405103359,2,high_height
baseline,debug_runs/20260529_110106_baseline,episode_000005,5,4,4,0.01689526429646765,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.016089066575134925,0.0008061977213327243,0.012922036140476503,0.061059943953404715,0.04813790781292821,0.08253844706819749,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,0,0,0.015904868558985513,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904868558985513,0.0,0.015904868558985513,0.05334765581516371,0.037442787256178195,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,1,1,0.02687429797636641,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904868558985513,0.010969429417380896,0.015904868558985513,0.05334765581516371,0.037442787256178195,0.2929650867690386,2,mid_height
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,2,2,0.05334765581516371,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904868558985513,0.037442787256178195,0.015904868558985513,0.05334765581516371,0.037442787256178195,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000006,6,3,3,0.04762016010329402,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015904868558985513,0.03171529154430851,0.015904868558985513,0.05334765581516371,0.037442787256178195,0.8470334039855799,2,high_height
