condition,episode,episode_idx,save_idx,action_key,action_dim,action_value,path
baseline,episode_000002,2,2,action_values.3,3,-96.30170440673828,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000002,2,2,action_values.4,4,-4.450254440307617,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000002,2,2,action_values.5,5,3.440641403198242,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000002,2,3,action_values.0,0,12.691202163696289,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,3,action_values.1,1,20.20677947998047,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,3,action_values.2,2,-55.91880416870117,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,3,action_values.3,3,-96.60786437988281,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,3,action_values.4,4,12.87100887298584,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,3,action_values.5,5,45.21947479248047,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000002,2,4,action_values.0,0,-6.893636703491211,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,4,action_values.1,1,101.74021911621094,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,4,action_values.2,2,17.532440185546875,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,4,action_values.3,3,-84.75535583496094,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,4,action_values.4,4,-3.4050114154815674,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000002,2,4,action_values.5,5,48.65198516845703,debug_runs/20260529_110106_baseline/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt
baseline,episode_000003,3,0,action_values.0,0,-12.56683349609375,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,0,action_values.1,1,101.24017333984375,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,0,action_values.2,2,8.165342330932617,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,0,action_values.3,3,-87.946533203125,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,0,action_values.4,4,-8.851729393005371,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,0,action_values.5,5,48.78857421875,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000003,3,1,action_values.0,0,-10.413216590881348,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,1,action_values.1,1,34.35785675048828,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,1,action_values.2,2,-17.017498016357422,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,1,action_values.3,3,-77.21929168701172,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,1,action_values.4,4,-7.847111701965332,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,1,action_values.5,5,47.74201965332031,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000003,3,2,action_values.0,0,-7.697261810302734,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,2,action_values.1,1,47.56660461425781,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,2,action_values.2,2,-50.047176361083984,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,2,action_values.3,3,-93.87916564941406,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,2,action_values.4,4,-6.918820381164551,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,2,action_values.5,5,3.527355194091797,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000003,3,3,action_values.0,0,14.109315872192383,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000003,3,3,action_values.1,1,24.366954803466797,debug_runs/20260529_110106_baseline/episode_000003/debug_chunk_rawid_3_003_observation_frame.pt
