condition,episode,save_idx,phase_target,eef_z,path,nearest_condition,nearest_episode,nearest_save_idx,nearest_eef_z,nearest_path,obs_distance,action_distance,same_condition,obs_distance_rank_pct,action_distance_rank_pct,mismatch_score
high,episode_000003,1,0.0,0.005950528071575936,debug_runs/20260529_112158_high/episode_000003/debug_chunk_rawid_1_001_observation_frame.pt,high,episode_000002,1,0.006139939929006494,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,29.642820358276367,0.19068492949008942,1,0.6866666666666666,0.62,0.19426666666666667
baseline,episode_000004,3,0.75,0.05176645818949543,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000005,3,0.04810507696666307,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt,28.76926612854004,0.17177510261535645,1,0.67,0.58,0.19139999999999996
baseline,episode_000007,3,0.75,0.04975359578022304,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000004,3,0.05176645818949543,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,32.561180114746094,0.19810503721237183,1,0.7233333333333334,0.6533333333333333,0.18075555555555553
low,episode_000006,4,0.25,0.018194679706304076,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_4_004_observation_frame.pt,low,episode_000005,4,0.01840597425049746,debug_runs/20260529_112911_low/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,29.966163635253906,0.16298650205135345,1,0.6933333333333334,0.5733333333333334,0.1758222222222222
baseline,episode_000000,4,0.5,0.056970388286832464,debug_runs/20260529_110106_baseline/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,high,episode_000004,3,0.06450514068847979,debug_runs/20260529_112158_high/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,37.51455307006836,4.5914387702941895,0,0.8266666666666667,0.9866666666666667,0.17102222222222224
high,episode_000007,1,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,high,episode_000006,1,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,19.176504135131836,0.07476285845041275,1,0.29333333333333333,0.24,0.1696
high,episode_000008,3,0.75,0.05779382130225648,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,baseline,episode_000004,3,0.05176645818949543,debug_runs/20260529_110106_baseline/episode_000004/debug_chunk_rawid_3_003_observation_frame.pt,35.085472106933594,0.8743654489517212,0,0.82,0.9266666666666666,0.16680000000000003
high,episode_000009,1,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,high,episode_000006,1,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,10.761553764343262,0.03451288491487503,1,0.023333333333333334,0.16333333333333333,0.15952222222222223
high,episode_000006,1,0.0,0.007822462762910626,debug_runs/20260529_112158_high/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,high,episode_000009,1,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,10.761553764343262,0.03451288491487503,1,0.023333333333333334,0.16333333333333333,0.15952222222222223
low,episode_000006,2,1.0,0.058801159247691276,debug_runs/20260529_112911_low/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,low,episode_000003,2,0.057893852772143664,debug_runs/20260529_112911_low/episode_000003/debug_chunk_rawid_2_002_observation_frame.pt,19.92275047302246,0.06823020428419113,1,0.32666666666666666,0.23333333333333334,0.15711111111111112
