grid_id,grid_x,grid_y,num_episodes,episode_ids,cx_mean,cy_mean,eef_z_max_mean,eef_z_max_std,eef_z_max_min,eef_z_max_max,eef_z_max_range,eef_z_max_iqr,prelift_wrist_mean,prelift_wrist_std,prelift_wrist_iqr,prelift_wrist_range,prelift_elbow_mean,prelift_elbow_std,prelift_elbow_iqr,prelift_elbow_range,prelift_gripper_mean,prelift_gripper_std,num_high,num_low,num_mid,num_unknown_label,matched_pairs,high_low_balance_ratio,high_low_imbalance,missing_high_low_pair_flag,high_eef_z_max_mean,low_eef_z_max_mean,high_eef_z_max_std,low_eef_z_max_std,high_minus_low_eef_gap,high_episode_ids,low_episode_ids
cell_x00_y02,0,2,2,"45,49",310.1779061855506,239.22463561414597,0.1916078884865216,0.011493364335949677,0.18011452415057194,0.2031012528224713,0.022986728671899354,0.01149336433594969,-87.72379476373845,3.2255696383389605,3.2255696383389676,6.451139276677921,-55.128565701571375,4.137979680841621,4.137979680841617,8.275959361683242,3.532343626022339,0.043341636657714844,2,0,0,0,0,0.0,1.0,1,0.1916078884865216,,0.011493364335949677,,,"45,49",
cell_x01_y02,1,2,7,"40,41,43,54,58,74,77",348.248619258878,252.16291277156793,0.12031367066794577,0.06003233713237165,0.06495968091320953,0.19154551594659164,0.1265858350333821,0.120031728037409,-83.04104267467152,12.425355760948314,17.59235624833542,38.41394389759411,-40.120235251141835,20.37677741277717,33.30054794658314,56.17535517432473,8.137392873887892,10.873741361874204,3,4,0,0,3,0.75,0.14285714285714285,0,0.18956621847010582,0.06837425981632572,0.0019712861715300784,0.0030396082719636648,0.1211919586537801,"40,41,43","54,58,74,77"
cell_x02_y02,2,2,16,"48,80,81,82,85,86,88,89,90,91,93,94,95,97,98,99",411.3761478259037,261.8460904304689,0.12473255214697813,0.05796741388178908,0.059646858781259936,0.19594456087427908,0.13629770209301914,0.11705247303810662,-87.50778003172441,11.33451641805203,19.538314125754624,31.787060130726204,-46.17596956816587,13.833182338742647,10.464381694793708,51.03273859891024,6.234424042430791,7.246494882692027,8,8,0,0,8,1.0,0.0,0,0.18194586551113845,0.06751923878281783,0.01235159589694315,0.004599322871105615,0.11442662672832062,"48,80,81,82,85,86,88,89","90,91,93,94,95,97,98,99"
cell_x03_y02,3,2,5,"20,21,28,30,36",485.63091240914446,235.33770771998988,0.1518899399567583,0.06222231623899041,0.07203140938095029,0.2123663352825157,0.1403349259015654,0.12127160969087566,-87.52681870893998,8.474246653445737,9.109214782714844,25.108921397816047,-53.07011406638405,13.651942732611767,9.877757679332383,39.87635213678534,3.6970418453216554,0.1135186884686477,3,2,0,0,2,0.6666666666666666,0.2,0,0.20241253331697717,0.07610604991643,0.007764974799758693,0.004074640535479707,0.12630648340054718,"20,21,28","30,36"
cell_x04_y02,4,2,4,"23,27,31,37",513.5782499856349,242.38408993079804,0.13899064880646217,0.05771936122263625,0.07530371872088445,0.1986760598900666,0.12337234116918214,0.11091919972742123,-88.29312064430931,8.336366231089622,9.788379322398782,22.941456881436437,-52.42904320630161,14.111689886443294,10.508289813995361,35.394127412275836,3.9847219803116536,0.554375774910005,2,2,0,0,2,1.0,0.0,0,0.1965257722437996,0.08145552536912475,0.002150287646266985,0.0061518066482402906,0.11507024687467486,"23,27","31,37"
cell_x00_y03,0,3,1,76,309.0624318739507,302.2720469685034,0.07073722884532763,0.0,0.07073722884532763,0.07073722884532763,0.0,0.0,-74.77391676469283,0.0,0.0,0.0,-12.139946590770375,0.0,0.0,0.0,3.5756852626800537,0.0,0,1,0,0,0,0.0,1.0,1,,0.07073722884532763,,0.0,,,76
cell_x01_y03,1,3,16,"60,61,62,63,64,65,66,67,68,70,71,72,73,75,78,79",345.7406152219502,305.92908491867365,0.1322214760218489,0.058709549036956084,0.06133045690753924,0.2071150662334177,0.14578460932587844,0.11756999250745932,-81.74495662342417,9.744661007063694,15.703144073486328,30.74726104736328,-31.225850137289274,18.360190487894812,34.3982719074596,54.48222583803263,3.640020504593849,0.10716027590850234,9,7,0,0,7,0.7777777777777778,0.125,0,0.18340844974837736,0.06640965265916939,0.011346016645125762,0.003606746709674253,0.11699879708920798,"60,61,62,63,64,65,66,67,68","70,71,72,73,75,78,79"
cell_x02_y03,2,3,6,"69,83,84,87,92,96",408.44250051481464,299.9967345882753,0.14391054109552218,0.05408358058662225,0.06752919278754271,0.1937673847171418,0.1262381919295991,0.08742379153313053,-81.82672385013466,9.929845802968895,4.0530131946910615,33.866661071777344,-37.09076860456755,14.109563581360979,10.431010202928022,40.81776051087813,7.523386305028741,8.934557543570754,4,2,0,0,2,0.5,0.3333333333333333,0,0.18186833793085672,0.06799494742485308,0.008065918926929818,0.0004657546373103699,0.11387339050600363,"69,83,84,87","92,96"
cell_x03_y03,3,3,14,"0,1,5,6,8,9,10,11,12,15,16,17,18,19",487.0638960586698,306.6199643762507,0.11866168540782648,0.05494350900060377,0.06674028879619817,0.2078567643728234,0.14111647557662524,0.10451471219695177,-79.23280899246016,11.985916932081265,18.244059475985452,33.361402338201344,-29.881169879591315,19.28734531735383,40.02915538441051,52.23408751054244,10.60090077233005,9.816160207761138,6,8,0,0,6,0.75,0.14285714285714285,0,0.1812717509501721,0.07170413625106728,0.013079106356028505,0.003091463528444587,0.10956761469910481,"0,1,5,6,8,9","10,11,12,15,16,17,18,19"
cell_x04_y03,4,3,6,"2,3,4,7,13,14",516.5105242904417,311.2960180357143,0.14549743366593268,0.05012742667536541,0.07517761063196568,0.1919772299905544,0.11679961935858871,0.0821377823930671,-84.84238248882872,11.849865736510353,20.93508529663086,30.329878373579547,-41.39501658352938,15.01882727297585,19.687017180702902,41.969930822199046,3.673203945159912,0.13748592936535103,4,2,0,0,2,0.5,0.3333333333333333,0,0.1806441673980242,0.07520396620174968,0.007953573676628486,2.635556978400344e-05,0.10544020119627451,"2,3,4,7","13,14"
