episode_idx,video_path,found,cx,cy,area,fill_ratio,aspect,num_found_frames,reason
37,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,513.2406504403912,239.2635297865367,2526.25,0.8145833333333333,0.8666666666666667,4,
38,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,505.6090945397055,224.341146497683,2468.75,0.8845186781609196,0.8275862068965517,4,
39,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-001.mp4,True,483.3958007721352,225.7724965706447,2430.0,0.8960878759398496,0.849624060150376,4,
40,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,336.6080091298494,232.07305092209975,2174.25,0.9017857142857142,0.7241379310344828,4,
41,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,350.5290388232738,237.9881826188972,2151.25,0.8912151067323482,0.7327586206896552,4,
42,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,369.1780425388931,222.3325456534194,2219.75,0.8905372894947875,0.7413793103448276,4,
43,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,361.48265415266377,250.26964440614506,2195.5,0.8603056426332288,0.7586206896551724,4,
44,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,376.2552936810755,220.72581187117993,2233.75,0.9169745484400657,0.7241379310344828,4,
45,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,311.62507912896467,246.3335536773784,2210.5,0.8661833855799372,0.7521917007597896,4,
46,/home/bruce/.cache/huggingface/lerobot/ethanCSL/svla_koch_pick_n_place_vla_steering_height_test4_fix_dataset/videos/observation.images.top/chunk-000/file-002.mp4,True,320.93889222819405,218.78085820113418,2144.5,0.8760302775441547,0.7034482758620689,4,
