global_id,layer,neuron,concept,is_selected_concept,tsne_x,tsne_y,max_logit,top_tokens_joined
301,0,301,Other neurons,False,-15.47858715057373,-22.818883895874023,2.6093757152557373,imbabwe | ortium | ructose | aundice | ubilee | ugar | iles | ologna | oples | ountains
305,0,305,Other neurons,False,4.593648910522461,-4.145521640777588,3.043253183364868,"ebted | ancipation | antidepress | arty | ,,,,,,,,,,,,,,,, | outheastern | ountains | TType | querque | ortium"
316,0,316,Other neurons,False,-29.185985565185547,2.91249418258667,4.291275501251221,firehose | forgettable | uggage | emetery | emeteries | SWORD | aphrag | osaics | paralleled | letcher
318,0,318,Other neurons,False,-46.65495681762695,1.7073363065719604,3.2545650005340576,emetery | incinnati | leveland | CLUD | incinn | uggage | orce | alytic | istine | ifflin
320,0,320,Other neurons,False,38.520084381103516,-7.984315872192383,2.6282706260681152,roring | roviral | onsai | ustaining | termedi | roughts | iforn | ortune | :`~ | graphe
321,0,321,Other neurons,False,-8.58637809753418,0.3159790635108948,3.3377842903137207,uggage | incoln | aughed | elfth | CLUD | incarnation | akespe | skirts | ighthouse | EXPRESS
325,0,325,Other neurons,False,61.154327392578125,-17.89752960205078,3.098557949066162," | s |  | ( | d | a | and | p |  | """
326,0,326,Other neurons,False,-2.0769741535186768,15.414299964904785,3.1611597537994385,izontal | aspberries | ghum | chrane | oosevelt | lemagne | incinnati | ikhail | anoia | aphylococcus
327,0,327,Other neurons,False,-26.686384201049805,27.485401153564453,3.647186756134033,ilantro | astrous | rowsiness | ynasty | ciplinary | enfranch | aphrag | incinn | uisines | cipline
328,0,328,Other neurons,False,-30.09414291381836,7.192603588104248,7.594832420349121,olkien | ilantro | emeteries | onsai | emetery | forgettable | ijuana | ropract | reponame | dprinting
334,0,334,Other neurons,False,-22.861116409301758,22.428924560546875,2.855346202850342,innitus | olkien | orgetown | zekiel | roleum | aternary | terranean | uador | ungsten | attoos
352,0,352,Other neurons,False,-23.38174057006836,23.25564956665039,3.5813302993774414,olkien | terson | attoos | elescope | elesc | innitus | thews | athione | ungsten | attoo
357,0,357,Other neurons,False,15.18343734741211,-2.6662113666534424,2.6003530025482178,coholic | foil | roit | ounces | emeteries | emen | ographies | areth | ogenesis | umbar
364,0,364,Other neurons,False,-2.684492588043213,-1.7450865507125854,2.5956311225891113,ALTH | ikhail | uggage | hatma | sorption | klah | creas | ropriate | Harv | radle
366,0,366,Other neurons,False,-0.3014708459377289,-6.755430221557617,2.602320909500122,orgetown | incarnation | apagos | conciliation | embourg | attoos | ).| | asphem | oliosis | arynge
373,0,373,Other neurons,False,10.002121925354004,-23.312150955200195,3.0790648460388184,oubted | iscrim | eveloped | ospel | theria | kner | oosevelt | ousseau | clusively | embrance
374,0,374,Other neurons,False,-29.2424373626709,-30.308561325073242,3.785938024520874,outheastern | TIES | ustaining | outheast | asphem | izabeth | firehose | aseous | openhagen | POSE
376,0,376,Other neurons,False,-28.305994033813477,-30.62986183166504,2.858905792236328,ustaining | ciplinary | outheastern | nyder | IFIC | ilantro | outheast | apeake | Cola | unken
377,0,377,Other neurons,False,-42.78957748413086,-13.497965812683105,2.557392120361328,uckingham | openhagen | arval | oultry | cohol | asgow | innitus | conciliation | attoos | indeer
386,0,386,Other neurons,False,-17.232547760009766,9.637025833129883,2.725675344467163,olkien | osphorus | anation | negie | urches | ediatrics | orkshire | ternity | aspberries | heum
390,0,390,Other neurons,False,-25.95907974243164,2.2838616371154785,4.889908790588379,uggage | aspberries | olkien | onsai | emeteries | emetery | charted | ilantro | reponame | ropract
392,0,392,Other neurons,False,-28.099966049194336,-22.013957977294922,2.968024730682373,outheastern | olkien | plementary | ||=|| | ometown | romyalgia | ikip | allel | duty | akedirs
405,0,405,Other neurons,False,63.64439010620117,-15.064168930053711,4.159339427947998," | ( | "" | , |  | and | a | m | S | in"
409,0,409,Other neurons,False,-16.566959381103516,12.832764625549316,3.792309045791626,dprinting | olkien | oliosis | ijuana | aspberries | ilantro | CLUD | firehose | uprofen | arvae
419,0,419,Other neurons,False,-40.25513458251953,0.599105954170227,4.500589847564697,emeteries | emetery | arnation | ilantro | ietzsche | aughed | MERCHANTABILITY | aspberries | teneg | openhagen
432,0,432,Other neurons,False,-9.603377342224121,21.38954734802246,2.9936647415161133,olkien | alination | raltar | ecal | hatma | orkshire | lisher | azole | ropical | esterone
435,0,435,Slow Transport,True,44.65734100341797,-8.570219039916992,1.4060808420181274,size | hang | slower | slow | heavy | sized | arval | new | Hang | Slow
437,0,437,Other neurons,False,-8.408431053161621,0.6410895586013794,3.366391897201538,uggage | apagos | aughed | untary | odiazep | rosophila | veston | asgow | imps | anguages
439,0,439,Other neurons,False,21.83805274963379,-16.77384376525879,2.798590898513794,teneg | oliberal | yalgia | ovolta | lessly | acular | utherford | iosync | ifflin | rarily
443,0,443,Other neurons,False,-16.2117919921875,9.068143844604492,3.612733840942383,aspberries | bohyd | riage | innitus | attoos | ucalypt | atosis | idisciplinary | unken | riages
445,0,445,Other neurons,False,-21.39791488647461,19.84099769592285,2.81723690032959,innitus | cedented | olkien | orgetown | regon | race | erous | ethical | heast | uggage
450,0,450,Other neurons,False,-22.410423278808594,8.857831954956055,4.900611400604248,ilantro | olkien | ijuana | uisines | geoId | onsai | yalgia | reponame | incoln | asgow
470,0,470,Other neurons,False,3.7016780376434326,-17.8233585357666,6.536113262176514,onsai | reponame | geoId | firehose | aughed | uckingham | emeteries | odiazep | letcher | KeyNot
474,0,474,Other neurons,False,-8.653791427612305,23.571182250976562,2.7914249897003174,olkien | elior | iscus | reponame | olerance | ethoven | elescope | firehose | rotsky | CreateModel
483,0,483,Other neurons,False,29.8199462890625,-11.816747665405273,2.9880032539367676,opyright | emetery | ioxide | vironments | ducive | ethoven | erately | astore | ramew | ynasty
485,0,485,Other neurons,False,-12.397334098815918,11.60802936553955,3.0562283992767334,jango | olkien | uggage | aggering | ynasty | lishing | iona | retching | oarthritis | iretroviral
489,0,489,Other neurons,False,-19.71975326538086,14.55427360534668,3.431164026260376,leanor | arval | uggage | olkien | ancouver | pliance | ijuana | arvation | racuse | ancock
