episode_idx,candidate_online_chunk,num_compared_steps,raw_action_rmse,mapped_action_rmse,pred_mapped_fk_z_max,sent_mapped_fk_z_max,pred_minus_sent_mapped_fk_z_max,abs_pred_minus_sent_mapped_fk_z_max
4,2,50,32.2271169916653,21.168450624745105,0.04503043269954425,0.13425523685397,-0.08922480415442575,0.08922480415442575
4,3,50,25.35059381875466,19.058011348775434,0.04503043269954425,0.07932011226117183,-0.03428967956162758,0.03428967956162758
4,4,39,23.021590845444923,20.355158021122122,0.04503043269954425,0.07547719233911754,-0.030446759639573287,0.030446759639573287
5,0,50,12.007194514012657,6.886153384301872,0.050204764504832335,0.04878926699184207,0.001415497512990263,0.001415497512990263
5,1,50,29.821111639287487,18.440323581555873,0.050204764504832335,0.12728885229183037,-0.07708408778699805,0.07708408778699805
5,2,50,31.518501998175203,20.635309317974695,0.050204764504832335,0.12996368079471726,-0.07975891628988493,0.07975891628988493
5,3,50,23.617007569229607,18.599454827057276,0.050204764504832335,0.07285901865104502,-0.022654254146212686,0.022654254146212686
5,4,35,24.60087363433072,22.013374989226808,0.050204764504832335,0.05540919367294659,-0.005204429168114255,0.005204429168114255
6,0,50,11.558128445258742,6.8743959760552364,0.047440329737994696,0.051637683141893216,-0.00419735340389852,0.00419735340389852
6,1,50,29.198778147267838,17.56243043240689,0.047440329737994696,0.1200908626997165,-0.0726505329617218,0.0726505329617218
6,2,50,31.536393561568218,20.879844123214152,0.047440329737994696,0.13722791887575406,-0.08978758913775936,0.08978758913775936
6,3,50,25.18764816524168,18.87867068420299,0.047440329737994696,0.07992135814312695,-0.032481028405132256,0.032481028405132256
6,4,35,23.799564193693985,21.148199268206927,0.047440329737994696,0.06860047281133888,-0.021160143073344184,0.021160143073344184
7,0,50,11.777415879179992,6.861014548830982,0.05259682498428595,0.0488862406032688,0.0037105843810171513,0.0037105843810171513
7,1,50,29.382237976583614,17.789689306430823,0.05259682498428595,0.1262381000748572,-0.07364127509057125,0.07364127509057125
7,2,50,29.434466533790115,19.832579749090048,0.05259682498428595,0.12061785091149763,-0.06802102592721168,0.06802102592721168
7,3,50,22.104742605107745,17.063733622015558,0.05259682498428595,0.07673923064165403,-0.024142405657368075,0.024142405657368075
7,4,31,25.83163625151275,23.283394495413102,0.05259682498428595,0.04864251877307705,0.003954306211208902,0.003954306211208902
8,0,50,11.121611637791572,6.9908120491749,0.04224619396020002,0.04927594035647138,-0.007029746396271359,0.007029746396271359
8,1,50,28.74781545172171,17.93232841997542,0.04224619396020002,0.12178277108776749,-0.07953657712756747,0.07953657712756747
8,2,50,30.17058906842531,20.665823498545816,0.04224619396020002,0.13437687825766656,-0.09213068429746654,0.09213068429746654
8,3,50,23.084771344845798,18.614799326000806,0.04224619396020002,0.0762516162167821,-0.03400542225658208,0.03400542225658208
8,4,32,21.348295893718063,18.992999758002906,0.04224619396020002,0.05338583646235545,-0.011139642502155434,0.011139642502155434
9,0,50,11.520349042182533,7.115504869785556,0.04470978779710653,0.051371734874004066,-0.006661947076897538,0.006661947076897538
9,1,50,29.074681008046095,17.708572356782287,0.04470978779710653,0.11729035784389102,-0.0725805700467845,0.0725805700467845
9,2,50,31.62389405896109,21.04873547973387,0.04470978779710653,0.1388162319194807,-0.09410644412237418,0.09410644412237418
9,3,50,23.681714549032563,18.34087374984602,0.04470978779710653,0.0769121012744263,-0.03220231347731977,0.03220231347731977
9,4,34,21.904513789597253,19.36906041654814,0.04470978779710653,0.06542822943112787,-0.020718441634021346,0.020718441634021346
