trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
4,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
5,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
6,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
7,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
8,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
9,True,4,1,1,debug_runs/20260605_115612_Stable/episode_000004/debug_chunk_rawid_1_001_observation_frame.pt,-10.558552742004395,82.60005950927734,-1.0470943450927734,-89.33456420898438,-4.788325309753418,60.81201934814453,Put the red cube in the box.,0.10410949212856181,0.25455466683217004
0,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
1,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
2,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
3,True,5,1,1,debug_runs/20260605_115612_Stable/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt,-10.5499849319458,82.8707275390625,-1.2106342315673828,-89.30599975585938,-5.354683876037598,62.76313400268555,Put the red cube in the box.,0.09924362969374516,0.2550554470718906
