save_idx,action_dim,action_key,baseline_mean,high_mean,low_mean,baseline_std,high_std,low_std,high_low_delta,abs_high_low_delta,high_low_effect_z,all_pooled_std,high_baseline_delta,low_baseline_delta
2,0,action_values.0,-5.758663463592529,-2.9420602560043334,-7.706031703948975,2.48747364792308,2.859640627549153,1.0890811065145405,4.763971447944641,4.763971447944641,2.2017182547591756,2.276778961926139,2.8166032075881957,-1.9473682403564458
4,2,action_values.2,7.2593017578125,-28.455813301934135,17.278444290161133,20.883506355588295,30.687872074060714,0.5811283177430808,-45.73425759209527,45.73425759209527,2.1072302941236094,21.43364987007964,-35.71511505974664,10.019142532348633
1,2,action_values.2,-18.80511693954468,-14.071918773651124,-20.31348419189453,6.61394393417765,0.6632614665652722,4.183017977790867,6.2415654182434075,6.2415654182434075,2.0841400513067283,4.534380131837104,4.733198165893555,-1.5083672523498528
4,1,action_values.1,93.20069122314453,57.500528971354164,100.52923126220703,23.808105825218725,29.297079945338666,0.4353743138383728,-43.02870229085287,43.02870229085287,2.0768300573568785,21.79705138393363,-35.70016225179037,7.328540039062503
1,4,action_values.4,-7.930304145812988,-7.099371242523193,-8.172727012634278,0.7176011998383245,0.4819773698506691,0.577916808482158,1.0733557701110845,1.0733557701110845,2.0171548472569816,0.6003447633329188,0.8309329032897947,-0.24242286682128977
4,0,action_values.0,-4.507025146484375,3.9569120936923556,-6.249431371688843,6.613434395571387,8.031976936586723,0.4969154702980056,10.206343465381199,10.206343465381199,1.7936312847326241,6.013792286597235,8.463937240176731,-1.7424062252044674
3,3,action_values.3,-92.96861419677734,-90.3846046447754,-95.23682022094727,4.978645587045717,3.674804429800056,1.365432346726869,4.852215576171872,4.852215576171872,1.7504029211609704,3.658574630106464,2.5840095520019446,-2.2682060241699276
3,2,action_values.2,-54.44836845397949,-53.4168197631836,-51.521208953857425,2.136243292170932,1.039047927725817,1.2618796638422016,-1.8956108093261719,1.8956108093261719,1.6400199327474592,1.553007435641689,1.0315486907958942,2.927159500122066
2,1,action_values.1,44.831648635864255,54.91989669799805,45.97232894897461,1.9190113068412602,7.738694264975403,1.399674298666016,8.947567749023442,8.947567749023442,1.6090239562006388,4.673652442679566,10.088248062133793,1.1406803131103516
4,4,action_values.4,-2.832409977912903,3.145578808254666,-3.2807838678359986,5.341180273408082,6.387021004297129,0.6188369446563159,6.4263626760906645,6.4263626760906645,1.416292309225546,4.820276727410572,5.977988786167568,-0.4483738899230958
1,5,action_values.5,47.65998306274414,44.9639087677002,47.61616325378418,0.31004739895708255,2.6562544880198815,0.3115965621001183,-2.652254486083983,2.652254486083983,1.4024673094101225,1.5544462800022423,-2.6960742950439425,-0.043819808959959516
0,5,action_values.5,48.661769485473634,47.9546516418457,48.33198204040527,0.21432100476771443,0.39980100257977647,0.22721430146414798,-0.37733039855957173,0.37733039855957173,1.1604202657239155,0.2929167535542466,-0.707117843627934,-0.3297874450683622
0,4,action_values.4,-8.43925986289978,-7.489556121826172,-8.659602069854737,1.9423041551758262,1.209791460909882,0.7614820123687709,1.170045948028565,1.170045948028565,1.157539665822245,1.3923595878058872,0.9497037410736082,-0.22034220695495677
2,3,action_values.3,-93.54720916748047,-87.9058624267578,-94.10728759765625,7.030020496496444,8.11638815721727,1.056693807109907,6.201425170898446,6.201425170898446,1.07150418505214,6.229327055730319,5.641346740722668,-0.5600784301757784
1,1,action_values.1,34.90671844482422,35.71005477905273,35.14385871887207,0.7457080607716715,0.5249639454020898,1.0913193647733084,0.5661960601806655,0.5661960601806655,0.6611974469387973,0.8211060856757371,0.8033363342285114,0.23714027404784588
0,0,action_values.0,-12.202079391479492,-11.146785831451416,-12.037712287902831,1.9653273891009495,1.616525162259444,1.6361247915296773,0.8909264564514157,0.8909264564514157,0.547805816778729,1.7466701348591178,1.0552935600280762,0.1643671035766605
